institution-id,institution-name,location-id
60375,Albright College,143673
60375,Albright College,143652
60375,Albright College,143650
60375,Albright College,143676
60375,Albright College,143648
60375,Albright College,143674
60375,Albright College,143672
60375,Albright College,143651
60375,Albright College,143649
60375,Albright College,143675
60214,University of the Pacific,90862
63873,Waynesburg University,143102
60150,Earlham College,80792
60951,William & Mary Main Campus,143206
60951,William & Mary Main Campus,143210
60951,William & Mary Main Campus,143211
60951,William & Mary Main Campus,143212
60951,William & Mary Main Campus,143213
60951,William & Mary Main Campus,143214
61980,La Sierra University,80406
62555,Northeastern Junior College,143829
60580,Bethel College,81554
62536,North Greenville University,143455
62186,Marshall University,143301
62477,New College of Florida,143404
60614,Bluefield State College,143241
63718,University of Sioux Falls,143528
60995,Concord University,143242
61594,Hodges University,143641
63075,Siena College,143059
63974,Wilson College,143020
62900,Roanoke College,143008
62974,Salem College,143754
63858,Washington Adventist University,143016
61162,Drexel University,143103
60622,Bowie State University,80569
63734,University of the District of Columbia,140008
62496,New Mexico State University,142939
62666,Oral Roberts University,97405
62415,Murray State University,143471
63742,University of Tulsa,80353
62923,Rose-Hulman Institute of Technology,143593
62923,Rose-Hulman Institute of Technology,143640
60353,Abilene Christian University,85024
62945,St. Edward's University,143697
60320,Willamette University,143671
63542,University of Delaware,143230
62616,Oakland University,143472
61029,Creighton University,143208
63536,University of Connecticut,142990
63536,University of Connecticut,143286
62964,Saint Marys College of California,143763
60120,Chapman University,143029
60120,Chapman University,143329
61466,Goucher College,142994
62170,Manhattan College,143686
59944,SUNY College at Oswego,80098
59879,Evangel University,79954
60300,USC Viterbi School of Engineering,140400
59876,Elmira College,143851
59876,Elmira College,143578
59876,Elmira College,143585
59876,Elmira College,143858
59876,Elmira College,143592
59876,Elmira College,143583
59876,Elmira College,143856
59876,Elmira College,143590
59876,Elmira College,143854
59876,Elmira College,143581
59876,Elmira College,143862
59876,Elmira College,143588
59876,Elmira College,143852
59876,Elmira College,143579
59876,Elmira College,143586
59876,Elmira College,143859
59876,Elmira College,143850
59876,Elmira College,143584
59876,Elmira College,143857
59876,Elmira College,143591
59876,Elmira College,143582
59876,Elmira College,143855
59876,Elmira College,143589
59876,Elmira College,143853
59876,Elmira College,143580
59876,Elmira College,143861
59876,Elmira College,143587
59938,New York Institute of Technology,80089
59938,New York Institute of Technology,80090
59889,Garden City Community College,79980
60132,California State University Channel Islands,97264
59909,Indiana University-Purdue University-Indianapolis,143345
59909,Indiana University-Purdue University-Indianapolis,143487
60275,University of Akron,80209
59919,Marietta College,80046
59873,Dominican College,79938
60208,Northern Arizona University,83260
60208,Northern Arizona University,143888
60208,Northern Arizona University,135629
60208,Northern Arizona University,143469
60307,Valencia College,80816
60307,Valencia College,80817
60307,Valencia College,80818
60093,University of Arizona,88306
60271,Tufts University,80729
59886,Finger Lakes Community College,79967
59867,University of Colorado Boulder,79916
59867,University of Colorado Boulder,143610
59867,University of Colorado Boulder,143611
60249,San Francisco State University,88825
60249,San Francisco State University,90483
59843,Aurora University,79853
59843,Aurora University,139496
59948,Point Park University,80114
59936,Northwest Missouri State University,80087
60017,Western Washington University,143191
59956,Sacred Heart University,80136
60194,Merrimack College,139324
60234,Salem State University,92007
60301,University of South Florida-Main,139164
60301,University of South Florida-Main,141766
60301,University of South Florida-Main,142992
60301,University of South Florida-Main,143412
60301,University of South Florida-Main,143413
60301,University of South Florida-Main,143414
